Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161366719,25,2351,1434,1030,5,51,10,3,2463,400,5
1778161366779,3,2361,1436,1029,6,47,11,3,2463,400,5
1778161366840,1,2361,1436,1029,6,47,12,3,2463,400,5
1778161366919,0,2365,1434,1030,9,48,10,1,2463,400,5
1778161366959,0,2367,1436,1030,7,48,10,3,2463,400,5
1778161367019,65534,2368,1434,1030,9,51,12,3,2463,400,5
1778161367079,65534,2367,1434,1030,5,48,10,1,2463,400,5
1778161367119,65534,2368,1434,1029,6,45,8,1,2463,400,5
1778161367199,65534,2367,1436,1030,6,48,8,4,2463,400,5
1778161367239,0,2368,1436,1029,5,45,12,4,2463,400,5
1778161367319,65534,2368,1436,1029,6,51,10,3,2463,400,5
1778161367359,0,2372,1434,1029,7,44,10,1,2463,400,5
1778161367420,65534,2369,1436,1029,5,49,8,1,2463,400,5
1778161367479,0,2371,1434,1029,7,48,12,3,2463,400,5
1778161367559,65534,2369,1436,1029,6,45,8,1,2463,400,5
1778161367599,65534,2370,1434,1029,9,48,10,1,2463,400,5
1778161367659,1677,2345,1434,1030,7,47,12,4,2463,400,5
1778161367719,2385,2167,1434,1029,4,48,8,1,2463,400,5
1778161367758,2389,2004,1436,1028,6,48,10,4,2463,400,5
1778161367839,2409,1663,1434,1029,6,47,10,5,2463,400,5
1778161367859,2414,1585,1436,1028,6,49,11,5,2463,400,5
1778161367939,2376,1298,1436,1029,6,49,12,3,2463,400,5
1778161367979,2310,1165,1436,1029,7,49,10,4,2463,400,5
1778161368039,2218,1009,1434,1029,6,48,10,1,2463,400,5
1778161368099,2229,895,1434,1029,9,49,12,5,2463,400,5
1778161368179,2221,798,1434,1028,6,48,10,4,2463,400,5
1778161368219,2184,778,1433,1029,5,49,8,4,2463,400,5
1778161368279,2203,766,1436,1029,5,49,12,7,2463,400,5
1778161368339,2110,781,1434,1030,5,48,8,1,2463,400,5
